Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
09-08-2011,-0.023994094,0.025398701,0.058888468,0.058802267
10-08-2011,0.04702471,0.020737327,-0.027592832,-0.05343991
11-08-2011,0.029259482,-0.006772009,0.02752344,0.021789501
12-08-2011,-0.003392607,-0.013636364,0.008803816,0.019862886
15-08-2011,0.031576476,0.001728111,0.01702967,0.00321302
16-08-2011,-0.013996359,0.025014376,-0.00764196,-0.025967007
17-08-2011,0.010732833,0.004207574,-0.000105125,-0.008852692
18-08-2011,-0.059374286,0.018994413,-0.037824619,-0.068442758
19-08-2011,-0.000606943,0.013157895,-0.027373356,-0.019669137
22-08-2011,0.025385643,0.015963204,0.00115158,-0.007768401
23-08-2011,0.011016347,-0.000798935,0.048142795,0.090176921
24-08-2011,-0.004217926,-0.056503198,0.006905811,0.000929956
25-08-2011,0.001882574,-0.023163842,-0.00653943,-0.008775084
26-08-2011,0.002583676,0.034123771,0.026383342,0.037702469
29-08-2011,0.022256062,-1,0.016658843,0.036432955
30-08-2011,0.018677667,0,5.13E-05,0.021255987
31-08-2011,-0.001012374,-0.00630137,-0.013231058,0.020434279
01-09-2011,0.001351199,0.004135649,-0.009874505,-0.012498272
02-09-2011,-0.027887102,0.029791323,-0.01831877,-0.011950659
